route_idx,route_progress_m,x,y,z,yaw_deg,road_option,road_id,section_id,lane_id,waypoint_s,lane_width_m,is_junction,junction_id
29,55.75318391748631,31.412546157836914,-57.40980529785156,0.0,359.9765625,LANEFOLLOW,10,0,2,96.40156041807722,3.5,False,
30,57.753182176742705,33.41254425048828,-57.410621643066406,0.0,359.9765625,LANEFOLLOW,10,0,2,94.40156041807722,3.5,False,
31,59.753182343347575,35.41254425048828,-57.41143798828125,0.0,359.9765625,LANEFOLLOW,10,0,2,92.40156041807722,3.5,False,
32,61.753182509952445,37.41254425048828,-57.412254333496094,0.0,359.9765625,LANEFOLLOW,10,0,2,90.40156041807722,3.5,False,
33,63.75318267811801,39.41254425048828,-57.4130744934082,0.0,359.9765625,LANEFOLLOW,10,0,2,88.40156041807722,3.5,False,
34,65.75318284472289,41.41254425048828,-57.41389083862305,0.0,359.9765625,LANEFOLLOW,10,0,2,86.40156041807722,3.5,False,
35,67.75318301132776,43.41254425048828,-57.41470718383789,0.0,359.9765625,LANEFOLLOW,10,0,2,84.40156041807722,3.5,False,
36,69.75318317793264,45.41254425048828,-57.415523529052734,0.0,359.9765625,LANEFOLLOW,10,0,2,82.40156041807722,3.5,False,
37,71.75318334453752,47.41254425048828,-57.41633987426758,0.0,359.9765625,LANEFOLLOW,10,0,2,80.40156041807722,3.5,False,
38,73.75317969800614,49.412540435791016,-57.41716003417969,0.0,359.9765625,LANEFOLLOW,10,0,2,78.40156041807722,3.5,False,
39,75.75317986461101,51.412540435791016,-57.41797637939453,0.0,359.9765625,LANEFOLLOW,10,0,2,76.40156041807722,3.5,False,
40,77.75318003121589,53.412540435791016,-57.418792724609375,0.0,359.9765625,LANEFOLLOW,10,0,2,74.40156041807722,3.5,False,
41,79.75318019782077,55.412540435791016,-57.41960906982422,0.0,359.9765625,LANEFOLLOW,10,0,2,72.40156041807722,3.5,False,
42,81.75318036442565,57.412540435791016,-57.42042541503906,0.0,359.9765625,LANEFOLLOW,10,0,2,70.40156041807722,3.5,False,
43,83.75318053259122,59.412540435791016,-57.42124557495117,0.0,359.9765625,LANEFOLLOW,10,0,2,68.40156041807722,3.5,False,
44,85.7531806991961,61.412540435791016,-57.422061920166016,0.0,359.9765625,LANEFOLLOW,10,0,2,66.40156041807722,3.5,False,
45,87.75318086580097,63.412540435791016,-57.42287826538086,0.0,359.9765625,LANEFOLLOW,10,0,2,64.40156041807722,3.5,False,
46,89.73923063792157,65.39859008789062,-57.42356872558594,0.0,0.1288604736328125,LANEFOLLOW,10,0,2,62.401560418077224,3.5,False,
47,91.47263419001304,67.13133239746094,-57.375694274902344,0.0,3.036346435546875,LANEFOLLOW,10,0,2,60.401560418077224,3.5,False,
48,93.20603478656403,68.85941314697266,-57.239994049072266,0.0,5.94384765625,LANEFOLLOW,10,0,2,58.401560418077224,3.5,False,
49,94.93943395426275,70.57838439941406,-57.01681137084961,0.0,8.851348876953125,LANEFOLLOW,10,0,2,56.401560418077224,3.5,False,
50,96.6728397463223,72.28382873535156,-56.706722259521484,0.0,11.758834838867188,LANEFOLLOW,10,0,2,54.401560418077224,3.5,False,
51,98.40623209230505,73.9713363647461,-56.31053161621094,0.0,14.66632080078125,LANEFOLLOW,10,0,2,52.401560418077224,3.5,False,
52,100.1396396755344,75.63658905029297,-55.829246520996094,0.0,17.573806762695312,LANEFOLLOW,10,0,2,50.401560418077224,3.5,False,
53,101.87304275636433,77.27528381347656,-55.264122009277344,0.0,20.481307983398438,LANEFOLLOW,10,0,2,48.401560418077224,3.5,False,
54,103.60644528043791,78.8832015991211,-54.616600036621094,0.0,23.3887939453125,LANEFOLLOW,10,0,2,46.401560418077224,3.5,False,
55,105.33984174900648,80.4561996459961,-53.88835525512695,0.0,26.296279907226562,LANEFOLLOW,10,0,2,44.401560418077224,3.5,False,
56,107.0732470006304,81.99024200439453,-53.08125686645508,0.0,29.203781127929688,LANEFOLLOW,10,0,2,42.401560418077224,3.5,False,
57,108.80664495687739,83.48136138916016,-52.197383880615234,0.0,32.11126708984375,LANEFOLLOW,10,0,2,40.401560418077224,3.5,False,
58,110.54005335670267,84.92574310302734,-51.239017486572266,0.0,35.01875305175781,LANEFOLLOW,10,0,2,38.401560418077224,3.5,False,
59,112.27344462712388,86.31963348388672,-50.208621978759766,0.0,37.92625427246094,LANEFOLLOW,10,0,2,36.401560418077224,3.5,False,
60,114.00684672159583,87.65947723388672,-49.108848571777344,0.0,40.833740234375,LANEFOLLOW,10,0,2,34.401560418077224,3.5,False,
61,115.7402488943386,88.94181060791016,-47.942527770996094,0.0,43.74122619628906,LANEFOLLOW,10,0,2,32.401560418077224,3.5,False,
62,117.47365562719025,90.16333770751953,-46.71266174316406,0.0,46.648712158203125,LANEFOLLOW,10,0,2,30.401560418077228,3.5,False,
63,119.2070548418381,91.3208999633789,-45.422420501708984,0.0,49.55621337890625,LANEFOLLOW,10,0,2,28.40156041807723,3.5,False,
64,120.94045131263556,92.41152954101562,-44.075130462646484,0.0,52.463706970214844,LANEFOLLOW,10,0,2,26.401560418077235,3.5,False,
65,122.6738502127557,93.43241119384766,-42.67424774169922,0.0,55.37120056152344,LANEFOLLOW,10,0,2,24.40156041807724,3.5,False,
